destination_radar,homeport_destination_radar,tonnage,departure_fr,destination_fr,ship_id,ship_name,departure_action,destination_action,departure_out_date,destination_in_date,source_doc_id
Local,Local,10,île d'Oléron,île d'Oléron,0009618N,Société,Out,In,1789<11<11,1789>11>11,00339737
Local,Local,9,île d'Oléron,La Rochelle,0009687N,Francoise,Out,In,1789<10<09,1789>10>09,00333742
Local,Local,9,île d'Oléron,La Rochelle,0009687N,Francoise,Out,In,1789<10<15,1789>10>15,00333743
Local,Local,30,Marennes,Tonnay-Charente,0012294N,Charlotte,Out,In,1789=02=03,1789>02>03,00338438
Local,Local,30,Marennes,Tonnay-Charente,0012294N,Charlotte,Out,In,1789=04=08,1789>04>08,00338490
Local,Local,20,Champagné-les-Marais,Les Sables-d'Olonne,0012589N,Folie,In-Out,In,1789=04=22,1789>04>22,00332757
Local,Local,26,Rochefort,Luçon,0012589N,Folie,Out,In,1789<11<30,1789>11>30,00337161
Local,Local,26,La Flotte-en-Ré,Luçon,0012589N,Folie,In-Out,In,1789=11=30,1789>11>30,00337161
Local,Local,26,Rochefort,Luçon,0012589N,Folie,Out,In,1789=09=15,1789>09>15,00340223
Europe,Local,5,Saint-Michel-en-l'Herm,pas mentionné,0012945N,Dromadaire,Out,In,1789=10=06,1789>10>06,00342151
Europe,Local,5,Saint-Michel-en-l'Herm,pas mentionné,0012945N,Dromadaire,Out,In,1789=10=15,1789>10>15,00342161
Local,Local,25,La Rochelle,La Rochelle,0012946N,Dromadaire,Out,In,1789<07<22,1789>07>22,00333454
Local,Local,15,Ars-en-Ré,Tonnay-Charente,0012946N,Dromadaire,Out,In,1789=10=02,1789>10>02,00338429
Local,Local,15,Ars-en-Ré,Tonnay-Charente,0012946N,Dromadaire,Out,In,1789=10=24,1789>10>24,00338430
Local,Local,32,Tonnay-Charente,Ars-en-Ré,0012946N,Dromadaire,Out,In,1789=10=14,1789>10>14,00342055
Local,Local,40,Tonnay-Charente,Ars-en-Ré,0012946N,Dromadaire,Out,In,1789=11=20,1789>11>20,00342057
Local,France,17,Tonnay-Charente,île de Ré,0013176N,Sauvé,Out,In,1789=08=10,1789>08>10,00340694
France,France,19,Saint-Martin-de-Ré,Morlaix,0013176N,Sauvé,Out,In,1789=08=12,1789>08>12,00336183
Local,France,17,La Flotte-en-Ré,Saintes,0013176N,Sauvé,In-Out,In,1789=07=12,1789>07>12,00339467
Local,Local,5,Tonnay-Charente,Tonnay-Charente,0013888N,Charente,Out,In,1789<11<24,1789>11>24,00332679
Local,Local,5,La Flotte-en-Ré,Tonnay-Charente,0013888N,Charente,In-Out,In,1789=11=24,1789>11>24,00332679
Local,Local,5,Tonnay-Charente,île de Ré,0013888N,Charmente,Out,In,1789=11=16,1789>11>16,00340719
Reste du monde,Reste du monde,55,Ars-en-Ré,Marblehead,0013899N,Anne,Out,In,1789=05=20,1789>05>20,00337658
Local,Local,20,Saint-Martin-de-Ré,île d'Yeu,0014076N,Sainte Anne,Out,In,1789=04=28,1789>04>28,00337140
Local,France,65,Seudre,Marennes,0021556N,Sainte Famille,Out,In,1789<10<01,1789>10>01,00341005
Reste du monde,Reste du monde,150,Ars-en-Ré,Gloucester,0018514N,Branche d’olivier,Out,In,1789=08=01,1789>08>01,00338161
Reste du monde,Reste du monde,55,Ars-en-Ré,Gloucester,0018757N,Harriot,Out,In,1789=07=08,1789>07>08,00338159
Reste du monde,Reste du monde,52,Noirmoutier,Virginie,0018957N,Portsmouth,Out,In,1789=06=27,1789>06>27,00337246
Reste du monde,Reste du monde,250,Ars-en-Ré,Georgetown,0019579N,Becky,Out,In,1789=06=16,1789>06>16,00338162
France,France,16,La Perrotine,Nantes,0021200N,Marie Joseph,Out,In,1789=05=11,1789>05>11,00333444
Local,Local,30,Marennes,Tonnay-Charente,0021480N,Jeune Joseph,Out,In,1789=04=01,1789>04>01,00338480
Local,Local,40,Marennes,Tonnay-Charente,0021480N,Jeune Joseph,Out,In,1789=05=11,1789>05>11,00338517
Local,Local,40,Marennes,Tonnay-Charente,0021480N,Jeune Joseph,Out,In,1789=10=31,1789>10>31,00338677
Europe,Local,14,Marans,pas identifié,0021541N,Saint Louis,Out,In,1789=06=05,1789>06>05,00332826
France,France,61,île de Bouin,Le Vivier,0021556N,Sainte Famille,Out,In,1789=09=21,1789>09>21,00337773
Local,France,27,La Rochelle,mer des Pertuis,,Marie Louise,Out,In,1789<01<13,1789>01>13,00332589
Local,Local,35,Marans,Tonnay-Charente,,Saint Pierre,Out,In,1789=05=14,1789>05>14,00332627
Local,Local,5,Marans,Tonnay-Charente,,Saint Jean,Out,In,1789=05=14,1789>05>14,00332628
Local,Europe,40,Marans,Tonnay-Charente,,Marie Anne,Out,In,1789=05=27,1789>05>27,00332629
Local,Local,35,Marans,Tonnay-Charente,,Marie Elizabet,Out,In,1789=06=04,1789>06>04,00332630
Local,Local,38,Marans,Tonnay-Charente,,Saint Pierre,Out,In,1789=06=12,1789>06>12,00332631
Local,Local,36,Marans,Tonnay-Charente,,Trois sœurs,Out,In,1789=06=25,1789>06>25,00332632
Local,France,48,Marennes,Tonnay-Charente,,Providance,Out,In,1789=03=20,1789>03>20,00332633
France,France,4,Marans,Carnac,,Reine des anges,Out,In,1789=02=06,1789>02>06,00332634
France,France,24,La Flotte-en-Ré,Plouharnel,,Sainte Anne,In-Out,In,1789=10=13,1789>10>13,00332648
Local,Local,9,île d'Oléron,île d'Oléron,,Trois Amis,Out,In,1789<03<07,1789>03>07,00332651
Local,Local,8,île d'Oléron,île d'Oléron,,Societté,Out,In,1789<04<09,1789>04>09,00332653
Local,Local,15,Moricq,Moricq,,Saint Louis,Out,In,1789<07<01,1789>07>01,00332656
Local,Local,4,Moricq,Moricq,,Non Pareille,Out,In,1789<10<02,1789>10>02,00332662
Local,Local,36,Tonnay-Charente,Tonnay-Charente,,Saint André,Out,In,1789<01<03,1789>01>03,00332668
Local,Local,36,La Flotte-en-Ré,Tonnay-Charente,,Saint André,In-Out,In,1789=01=03,1789>01>03,00332668
Local,Local,30,Tonnay-Charente,Tonnay-Charente,,Dauphain,Out,In,1789<04<01,1789>04>01,00332669
Local,Local,30,La Flotte-en-Ré,Tonnay-Charente,,Dauphain,In-Out,In,1789=04=01,1789>04>01,00332669
Local,Local,36,Tonnay-Charente,Tonnay-Charente,,Saint André,Out,In,1789<04<01,1789>04>01,00332670
Local,Local,36,La Flotte-en-Ré,Tonnay-Charente,,Saint André,In-Out,In,1789=04=01,1789>04>01,00332670
Local,Local,26,Tonnay-Charente,Tonnay-Charente,,Marie Margueritte,Out,In,1789<04<02,1789>04>02,00332671
Local,Local,26,La Flotte-en-Ré,Tonnay-Charente,,Marie Margueritte,In-Out,In,1789=04=02,1789>04>02,00332671
Local,Local,36,Tonnay-Charente,Tonnay-Charente,,Patiance,Out,In,1789<04<30,1789>04>30,00332672
Local,Local,36,La Flotte-en-Ré,Tonnay-Charente,,Patiance,In-Out,In,1789=04=30,1789>04>30,00332672
Local,Local,26,Tonnay-Charente,Tonnay-Charente,,Marie Magdelaine,Out,In,1789<05<04,1789>05>04,00332673
Local,Local,26,La Flotte-en-Ré,Tonnay-Charente,,Marie Magdelaine,In-Out,In,1789=05=04,1789>05>04,00332673
Local,Local,26,Tonnay-Charente,Tonnay-Charente,,Marie Magdelaine,Out,In,1789<08<06,1789>08>06,00332674
Local,Local,26,La Flotte-en-Ré,Tonnay-Charente,,Marie Magdelaine,In-Out,In,1789=08=06,1789>08>06,00332674
Local,Local,36,Tonnay-Charente,Tonnay-Charente,,Saint André,Out,In,1789<11<13,1789>11>13,00332678
Local,Local,36,La Flotte-en-Ré,Tonnay-Charente,,Saint André,In-Out,In,1789=11=13,1789>11>13,00332678
Local,Local,4,Tonnay-Charente,Tonnay-Charente,,Princesse,Out,In,1789<12<16,1789>12>16,00332680
Local,Local,4,La Flotte-en-Ré,Tonnay-Charente,,Princesse,In-Out,In,1789=12=16,1789>12>16,00332680
Local,Local,20,Ribérou,Ker Châlon,,Saint François,Out,In,1789<08<23,1789>08>23,00332681
Local,Local,20,Ker Châlon,Ker Châlon,,Marie Marguerite,Out,In,1789<04<30,1789>04>30,00332682
Local,Local,20,Ker Châlon,Ker Châlon,,Saint Pierre,Out,In,1789<09<07,1789>09>07,00332683
Local,Local,20,Ker Châlon,Ker Châlon,,Saint Pierre,Out,In,1789<10<04,1789>10>04,00332684
France,France,27,Seudre,Côtes de Bretagne,,Marguerite,Out,In,1789<11<25,1789>11>25,00332686
France,France,25,La Rochelle,Auray,,Saint Sebastien,Out,In,1789<07<02,1789>07>02,00332689
Local,Local,25,Marans,Marans,,Marie Claire,Out,In,1789<01<15,1789>01>15,00332691
France,France,27,La Tranche-sur-Mer,Côtes de Bretagne,,Unnamed,Out,In,1789=07=30,1789>07>30,00332695
France,France,15,La Tranche-sur-Mer,Côtes de Bretagne,,Espérance,Out,In,1789=08=13,1789>08>13,00332696
Local,Local,25,Marans,Marans,,Marie Claire,Out,In,1789<04<16,1789>04>16,00332694
Local,France,16,La Flotte-en-Ré,pertuis Breton,,Emanuel,In-Out,In,1789=11=02,1789>11>02,00332711
Local,France,7,Les Sables-d'Olonne,mer des Pertuis,,Sainte Anne,Out,In,1789=03=06,1789>03>06,00332725
France,France,12,Moricq,Blaye,,Jeune George,Out,In,1789=07=06,1789>07>06,00332783
France,Local,6,Moricq,Beauvoir-sur-Mer,,Jean Marie,Out,In,1789=04=21,1789>04>21,00332790
Local,Local,40,Tonnay-Charente,La Rochelle,,Marianne,Out,In,1789=01=21,1789>01>21,00332873
Local,Local,32,Tonnay-Charente,La Rochelle,,Saint Pierre,Out,In,1789=01=21,1789>01>21,00332874
Local,Local,32,Tonnay-Charente,La Rochelle,,Saint Jean,Out,In,1789=02=06,1789>02>06,00332875
Local,Local,32,Tonnay-Charente,La Rochelle,,Victoire,Out,In,1789=08=31,1789>08>31,00332876
Ports francs et petites îles,Local,40,Moricq,Lorient,,Catholique,Out,In,1789=07=31,1789>07>31,00332998
Local,Europe,26,La Rochelle,La Rochelle,,Follie,In-out,In,1789<11<30,1789>11>30,00332999
Local,Local,18,Rochefort,Ars-en-Ré,,Esperance,Out,In,1789=04=08,1789>04>08,00333013
Local,Local,16,Les Sables-d'Olonne,Saint-Martin-de-Ré,,Deux Amis,Out,In,1789=09=12,1789>09>12,00333019
Local,Local,60,Rochefort,Saint-André-de-Cubzac,,Conducteur,Out,In,1789=10=16,1789>10>16,00333025
Local,Local,55,Rochefort,Saint-André-de-Cubzac,,Bien Aimée,Out,In,1789=05=28,1789>05>28,00333026
France,Ports francs et petites îles,34,Marennes,Nantes,,Brochet,Out,In,1789=04=11,1789>04>11,00333053
Local,Local,16,Les Sables-d'Olonne,Saint-Martin-de-Ré,,Deux Amis,Out,In,1789=12=23,1789>12>23,00333082
Local,Local,16,Les Sables-d'Olonne,Saint-Martin-de-Ré,,Deux Amis,Out,In,1789=07=07,1789>07>07,00333086
Local,Local,18,Ribérou,La Perrotine,,Saint Joseph,Out,In,1789=05=16,1789>05>16,00333124
Local,Local,36,Martrou,La Rochelle,,Bonne Esperance,Out,In,1789<12<13,1789>12>13,00333159
France,France,8,Rochefort,Quimper,,Marie Thérèse,Out,In,1789=05=19,1789>05>19,00333229
Local,Local,36,Tonnay-Charente,Marennes,,Tasselier,Out,In,1789=06=12,1789>06>12,00333234
Local,Local,20,Marans,Tonnay-Charente,,Petit Saint Jean,Out,In,1789=06=03,1789>06>03,00333242
Local,Local,16,Les Sables-d'Olonne,Saint-Martin-de-Ré,,Deux Amis,Out,In,1789=08=20,1789>08>20,00333252
Local,Local,16,Les Sables-d'Olonne,Saint-Martin-de-Ré,,Deux Amis,Out,In,1789=03=12,1789>03>12,00333261
France,France,80,Rochefort,Saint-Malo,,Jean Jacques,Out,In,1789=02=21,1789>02>21,00333419
Local,Local,12,Ribérou,Soubise,,Aimable Suzanne,Out,In,1789=04=15,1789>04>15,00333435
Local,Local,8,Marennes,Saintes,,Patiance,Out,In,1789=10=01,1789>10>01,00333436
Europe,Grande-Bretagne,6,Saint-Martin-de-Ré,Norvège,,Nancy,Out,In,1789=07=02,1789>07>02,00333440
France,France,36,La Perrotine,Nantes,,Angélique,Out,In,1789=01=27,1789>01>27,00333443
France,France,41,La Perrotine,Nantes,,Rosalie,Out,In,1789=08=19,1789>08>19,00333445
France,France,40,Ribérou,Nantes,,Rosalie,Out,In,1789=05=01,1789>05>01,00333446
Europe,Grande-Bretagne,106,Rochefort,Madère,,Le Missenher Teena,Out,In,1789=07=01,1789>07>01,00333447
Grande-Bretagne,Grande-Bretagne,123,Rochefort,Liverpool,,Hélène,Out,In,1789=06=26,1789>06>26,00333451
Local,Local,4,Saint-Michel-en-l'Herm,La Rochelle,,Nonpareille,Out,In,1789<05<17,1789>05>17,00333452
Local,Local,33,La Rochelle,La Rochelle,,Necessaire,Out,In,1789<03<09,1789>03>09,00333453
Local,Local,4,La Rochelle,La Rochelle,,Nonpareille,Out,In,1789<12<03,1789>12>03,00333455
Europe,Europe,186,Saint-Martin-de-Ré,Hambourg,,Societte,Out,In,1789=04=06,1789>04>06,00333506
Grande-Bretagne,Local,40,La Flotte-en-Ré,Guernesey,,Aimable Suzanne,In-Out,In,1789=02=10,1789>02>10,00333507
France,Local,42,La Flotte-en-Ré,Étaples ,,Trois Cousins,In-Out,In,1789=09=03,1789>09>03,00333510
Local,Local,30,Marennes,Tonnay-Charente,,Saint Pierre,Out,In,1789=12=17,1789>12>17,00333511
Local,Local,75,Mortagne,Tonnay-Charente,,Saint Charles,Out,In,1789=12=05,1789>12>05,00333513
Local,Local,12,Saint-Martin-de-Ré,Tonnay-Charente,,Elizabeth,Out,In,1789=12=11,1789>12>11,00333515
Local,Local,27,Ribérou,Tonnay-Charente,,Saint Jean,Out,In,1789=09=05,1789>09>05,00333514
Local,Local,,La Perrotine,Ker Châlon,,Deux Sœurs,Out,In,1789=08=06,1789>08>06,00333519
France,France,48,Saint-Martin-de-Ré,Calais,,Sainte Helene,Out,In,1789=03=04,1789>03>04,00333520
France,France,70,Ars-en-Ré,Calais,,Heureuse Marie,Out,In,1789=03=02,1789>03>02,00333521
France,France,60,La Perrotine,Boulogne-sur-Mer,,Unnamed,Out,In,1789=09=04,1789>09>04,00333524
France,Ports francs et petites îles,66,Marennes,Boulogne-sur-Mer,,Aimable Julie,Out,In,1789=03=19,1789>03>19,00333527
France,Ports francs et petites îles,85,Tonnay-Charente,Nantes,,Espoir du Gain,Out,In,1789=03=28,1789>03>28,00333551
Grande-Bretagne,Grande-Bretagne,93,Mortagne,Bristol,,Duc d' York,Out,In,1789=08=25,1789>08>25,00333553
Local,Local,4,l'Aiguillon,La Rochelle,,Nonpareille,Out,In,1789<08<21,1789>08>21,00333555
Europe,France,54,Marennes,pas mentionné,,Aimable Marie,Out,In,1789=08=26,1789>08>26,00333554
Europe,France,44,Tonnay-Charente,Rotterdam,,Victoire,Out,In,1789=02=14,1789>02>14,00333559
France,France,27,Saint-Denis d'Oléron,Nantes,,Marie Louise,Out,In,1789=01=27,1789>01>27,00333563
Grande-Bretagne,Local,45,Ars-en-Ré,Guernesey,,Louis David,Out,In,1789=01=27,1789>01>27,00333593
Local,Local,35,Tonnay-Charente,Tonnay-Charente,,Marie Elizabeth,Out,In,1789<04<06,1789>04>06,00333596
Local,Local,35,La Flotte-en-Ré,Tonnay-Charente,,Marie Elizabeth,In-Out,In,1789=04=06,1789>04>06,00333596
Local,Local,12,Ribérou,mer des Pertuis,,Magdeleine,Out,In,1789=11=28,1789>11>29!,00333621
Local,Local,4,Saint-Martin-de-Ré,Hors du Pertuis,,Sainte Anne,Out,In,1789=08=10,1789>08>10,00333635
Local,Local,4,Saint-Martin-de-Ré,Hors du Pertuis,,Utille,Out,In,1789=08=10,1789>08>10,00333636
Local,Local,36,Marans,Tonnay-Charente,,Trois sœurs,Out,In,1789=10=29,1789>10>29,00333684
Local,Local,12,Marans,Avallon,,Aimable,Out,In,1789=02=04,1789>02>04,00333726
Local,Local,6,Moricq,La Perrotine,,Françoise,Out,In,1789=07=22,1789>07>22,00333733
Local,Local,20,Saint-Martin-de-Ré,Saint-Martin-de-Ré,,Elizabeth,Out,In,1789<11<28,1789>11>28,00333737
Local,Local,20,Soubise,Saint-Martin-de-Ré,,Elizabeth,In-Out,In,1789=11=28,1789>11>28,00333737
Local,Local,32,La Rochelle,La Rochelle,,unnamed,Out,In,1789<08<26,1789>08>26,00333744
Local,Local,25,Marans,Tonnay-Charente,,Diligente,Out,In,1789=12=02,1789>12>02,00333749
France,Local,36,Soubise,Bordeaux,,Amitié,Out,In,1789<09<22,1789>09>22,00333750
France,Local,36,Soubise,Bordeaux,,Amitié,In-Out,In,1789=09=22,1789>09>22,00333750
France,France,32,Soubise,Bordeaux,,Le Jean Marie,In-Out,In,1789=09=18,1789>09>18,00333751
France,Local,25,Tonnay-Charente,Bordeaux,,Saint Pierre,Out,In,1789<10<22,1789>10>22,00333752
France,Local,25,Soubise,Bordeaux,,Saint Pierre,In-Out,In,1789=10=22,1789>10>22,00333752
Local,Local,50,Saint-Gilles-sur-Vie,La Rochelle,,Jazon,Out,In,1789=10=14,1789>10>14,00333787
France,Local,55,Saint-Gilles-sur-Vie,Nantes,,Jazon,Out,In,1789=07=27,1789>07>27,00333841
Local,France,48,Saint-Gilles-sur-Vie,Marans,,Saint Louis,Out,In,1789=12=17,1789>12>17,00333852
Local,Local,40,Marans,Tonnay-Charente,,Binjamin,Out,In,1789=04=16,1789>04>16,00333857
France,Local,22,Saint-Gilles-sur-Vie,Beauvoir-sur-Mer,,Epervier,Out,In,1789=06=13,1789>06>13,00333873
Local,Local,32,Rochefort,Tonnay-Charente,,Louis Alexandre,Out,In,1789=10=14,1789>10>14,00333874
France,Local,30,Saint-Gilles-sur-Vie,Nantes,,Heureux Hazard,Out,In,1789=12=01,1789>12>01,00333883
France,France,16,Marans,Pornic,,Marie Catherine,Out,In,1789=08=10,1789>08>10,00333887
Local,Local,22,Saint-Gilles-sur-Vie,Marennes,,Epervier,Out,In,1789=07=29,1789>07>29,00333889
France,Ports francs et petites îles,12,Noirmoutier,Courreaux de Groix,,Suzanne Cécile,Out,In,1789=04=22,1789>04>22,00333898
Local,Local,22,Saint-Gilles-sur-Vie,Saint-Denis d'Oléron,,Epervier,Out,In,1789=10=25,1789>10>25,00333899
Local,Local,18,Marennes,Ker Châlon,,Felicité,Out,In,1789=06=17,1789>06>17,00333900
Local,Local,60,Rochefort,Tonnay-Charente,,Conducteur,Out,In,1789=06=26,1789>06>26,00333904
Local,Local,32,Rochefort,Chaillevette,,Grace de Dieu,Out,In,1789=02=16,1789>02>16,00333905
Local,Ports francs et petites îles,24,Noirmoutier,île d'Oléron,,Sainte Helene,Out,In,1789=07=02,1789>07>02,00333914
Local,Local,2,Les Sables-d'Olonne,l'Aiguillon,,Angoumoiziénne,Out,In,1789=12=27,1789>12>27,00334848
Local,Local,2,Les Sables-d'Olonne,l'Aiguillon,,Boitél,Out,In,1789=12=27,1789>12>27,00334849
Local,Local,2,Les Sables-d'Olonne,l'Aiguillon,,Marie Françoise,Out,In,1789=12=27,1789>12>27,00334850
Local,Local,13,Marans,Soubise,,Marie Thérèse,Out,In,1789=12=17,1789>12>17,00334861
Local,Local,24,Rochefort,Tonnay-Charente,,Petit Saint Jean,Out,In,1789=08=18,1789>08>18,00334960
Europe,France,7,Les Sables-d'Olonne,pas mentionné,,Sainte Anne,Out,In,1789=02=16,1789>02>16,00335016
Europe,France,18,Les Sables-d'Olonne,pas mentionné,,Marie Anne,Out,In,1789=04=03,1789>04>03,00335036
Europe,Europe,24,Saint-Martin-de-Ré,pas identifié,,Sainte Anne,Out,In,1789=08=08,1789>08>08,00336078
Grande-Bretagne,Grande-Bretagne,120,Saint-Martin-de-Ré,Southampton,,Dacokin,Out,In,1789=01=29,1789>01>29,00336080
Local,Local,15,Saint-Martin-de-Ré,Soubise,,Elizabeth,Out,In,1789=11=17,1789>11>17,00336081
France,Europe,16,Ribérou,rivière de Bordeaux,,Saint Vincent,Out,In,1789=07=22,1789>07>22,00336115
Local,Local,2,Marennes,Saint-Martin-de-Ré,,Des sœurs,Out,In,1789=07=19,1789>07>19,00336096
Europe,France,108,Saint-Martin-de-Ré,Santander,,Diligence,Out,In,1789=08=07,1789>08>07,00336098
Local,Local,2,Ribérou,Les Sables-d'Olonne,,Marie Constance,Out,In,1789=07=20,1789>07>20,00336103
Local,Local,2,Ribérou,Les Sables-d'Olonne,,Hermione,Out,In,1789=07=25,1789>07>25,00336104
Local,Local,2,Ribérou,Les Sables-d'Olonne,,Sabre,Out,In,1789=06=25,1789>06>25,00336105
Local,Local,2,Ribérou,Les Sables-d'Olonne,,Marie Rose,Out,In,1789=07=11,1789>07>11,00336106
Local,Local,32,Mortagne,Rochefort,,Union,Out,In,1789=06=22,1789>06>22,00336110
France,France,18,Marennes,Quimperlé,,Cerf,Out,In,1789=08=18,1789>08>18,00336116
France,France,18,Marennes,Quimper,,Cerf,Out,In,1789=08=03,1789>08>03,00336117
France,France,27,Soubise,Quiberon,,Marie Ange,In-Out,In,1789=09=05,1789>09>05,00336119
France,Ports francs et petites îles,24,Marans,Pornic,,Sainte Helene,Out,In,1789=04=06,1789>04>06,00336137
France,France,28,Les Sables-d'Olonne,Port-Navalo,,Saint Nicolas,Out,In,1789=05=12,1789>05>12,00336138
Local,Europe,2,Ribérou,La Perrotine,,Saint François,Out,In,1789=07=25,1789>07>25,00336141
Local,Local,120,Les Sables-d'Olonne,île d'Oléron,,Colombe,Out,In,1789=09=10,1789>09>10,00336154
Local,Local,40,Les Sables-d'Olonne,île d'Oléron,,Jean François de Salle,Out,In,1789=09=28,1789>09>28,00336155
France,France,28,Saint-Denis d'Oléron,Nantes,,Saint Antoine,Out,In,1789=03=21,1789>03>21,00336180
Local,Local,5,Saint-Denis d'Oléron,Marans,,Bonne Mère,Out,In,1789=03=13,1789>03>13,00336240
Local,France,18,Saint-Denis d'Oléron,Marans,,Coureur,Out,In,1789=04=15,1789>04>15,00336241
Local,Local,5,Saint-Denis d'Oléron,Marans,,Bonne mère,Out,In,1789=04=17,1789>04>17,00336242
Local,Local,5,Saint-Denis d'Oléron,Marans,,Bonne mère,Out,In,1789=06=06,1789>06>06,00336243
Europe,Reste du monde,60,Saint-Martin-de-Ré,Lisbonne,,Charleston,Out,In,1789=07=21,1789>07>21,00336253
France,France,28,Marennes,Le Croisic,,Marie Louise,Out,In,1789=08=21,1789>08>21,00336255
Local,Local,30,Marans,l'Aiguillon,,Marie Antoine,Out,In,1789=11=05,1789>11>05,00336257
Local,Europe,30,Marans,La Tranche-sur-Mer,,Saint Pierre,Out,In,1789=07=18,1789>07>18,00336258
Europe,France,12,Saint-Martin-de-Ré,pas mentionné,,Saint Pierre,Out,In,1789=10=01,1789>10>01,00336307
Local,Local,34,Les Sables-d'Olonne,île d'Oléron,,Jazon,Out,In,1789=11=27,1789>11>27,00336318
Local,Local,26,Les Sables-d'Olonne,Le Château-d'Oléron,,Benjamin,Out,In,1789=11=09,1789>11>09,00336467
Local,Local,30,Les Sables-d'Olonne,Le Château-d'Oléron,,Providence,Out,In,1789=11=14,1789>11>14,00336468
Local,Local,38,Marans,Tonnay-Charente,,Saint Pierre,Out,In,1789=07=06,1789>07>06,00336469
Local,Local,24,Marans,Tonnay-Charente,,Petit Saint Jean,Out,In,1789=07=08,1789>07>08,00336470
Local,Local,38,Marans,Tonnay-Charente,,Saint Pierre,Out,In,1789=07=21,1789>07>21,00336471
Local,Local,38,Marans,Tonnay-Charente,,Saint Pierre,Out,In,1789=09=26,1789>09>26,00336472
Local,Local,38,Marans,Tonnay-Charente,,Saint Pierre,Out,In,1789=08=07,1789>08>07,00336473
Local,Local,30,Marans,Tonnay-Charente,,Saint Pierre,Out,In,1789=08=13,1789>08>13,00336474
Local,Local,37,Marennes,Tonnay-Charente,,Saint Joseph,Out,In,1789=08=04,1789>08>04,00336477
Local,Local,35,Marennes,Tonnay-Charente,,Marie Elizabéth,Out,In,1789=08=05,1789>08>05,00336478
Local,Local,32,Mortagne,Tonnay-Charente,,Union,Out,In,1789=08=08,1789>08>08,00336479
Local,Local,36,Saint-Martin-de-Ré,Tonnay-Charente,,Providence,Out,In,1789=01=15,1789>01>15,00336480
Local,Local,36,Saint-Martin-de-Ré,Tonnay-Charente,,Saint Pierre,Out,In,1789=01=28,1789>01>28,00336481
Local,Local,30,Saint-Martin-de-Ré,Tonnay-Charente,,Saint Pierre,Out,In,1789=02=05,1789>02>05,00336482
Local,Local,20,Saint-Martin-de-Ré,Tonnay-Charente,,Grace de Dieu,Out,In,1789=02=20,1789>02>20,00336483
Local,Local,5,Saint-Martin-de-Ré,Tonnay-Charente,,Princesse,Out,In,1789=03=11,1789>03>11,00336484
Local,Local,30,Saint-Martin-de-Ré,Tonnay-Charente,,Providence,Out,In,1789=04=01,1789>04>01,00336485
