flow_type,customs_office,product,partner,value
export,Saint-Martin-de-Ré,eau-de-vie et vins divers,Ports francs et petites îles,56763.359
export,Saint-Martin-de-Ré,eau-de-vie et vins divers,Ports francs et petites îles,1908
export,Saint-Martin-de-Ré,eau-de-vie et vins divers,Ports francs et petites îles,175.68001
export,Saint-Martin-de-Ré,eau-de-vie et vins divers,Grande Bretagne,6311.5205
export,Saint-Martin-de-Ré,eau-de-vie et vins divers,Europe,3440.1599
export,Saint-Martin-de-Ré,eau-de-vie et vins divers,Europe,19608.48
export,Saint-Martin-de-Ré,eau-de-vie et vins divers,Europe,157432.33
export,Saint-Martin-de-Ré,eau-de-vie et vins divers,Reste du monde (USA),27080.641
export,Saint-Martin-de-Ré,eau-de-vie et vins divers,Grande Bretagne,21372.48
export,Saint-Martin-de-Ré,eau-de-vie et vins divers,Europe,5909.4004
export,Saint-Martin-de-Ré,autres produits,Ports francs et petites îles,558.60004
export,Saint-Martin-de-Ré,autres produits,Ports francs et petites îles,229.09999
export,Saint-Martin-de-Ré,autres produits,Ports francs et petites îles,320
export,Saint-Martin-de-Ré,autres produits,Ports francs et petites îles,4788
export,Saint-Martin-de-Ré,autres produits,Ports francs et petites îles,692
export,Saint-Martin-de-Ré,eau-de-vie et vins divers,Ports francs et petites îles,512
export,Saint-Martin-de-Ré,autres produits,Ports francs et petites îles,393
export,Saint-Martin-de-Ré,autres produits,Ports francs et petites îles,175
export,Saint-Martin-de-Ré,autres produits,Ports francs et petites îles,3517.8
export,Saint-Martin-de-Ré,sel,Ports francs et petites îles,6267
export,Saint-Martin-de-Ré,sel,Ports francs et petites îles,2677
export,Saint-Martin-de-Ré,sel,Grande Bretagne,28686
export,Saint-Martin-de-Ré,sel,Europe,13093
export,Saint-Martin-de-Ré,sel,Europe,21568
export,Saint-Martin-de-Ré,sel,Europe,35563
export,Saint-Martin-de-Ré,sel,Europe,14664
export,Saint-Martin-de-Ré,sel,Europe,23034
export,Saint-Martin-de-Ré,sel,Reste du monde (USA),20277
export,Saint-Martin-de-Ré,autres produits,Ports francs et petites îles,271.60001
export,Saint-Martin-de-Ré,eau-de-vie et vins divers,Europe,2500.1279
export,Saint-Martin-de-Ré,eau-de-vie et vins divers,Ports francs et petites îles,15151.393
export,Saint-Martin-de-Ré,eau-de-vie et vins divers,Ports francs et petites îles,825.12
export,Saint-Martin-de-Ré,eau-de-vie et vins divers,Europe,5500.7998
export,Saint-Martin-de-Ré,eau-de-vie et vins divers,Europe,20424.959
export,Saint-Martin-de-Ré,eau-de-vie et vins divers,Europe,52449.406
export,Saint-Martin-de-Ré,eau-de-vie et vins divers,Europe,575.13599
export,Saint-Martin-de-Ré,eau-de-vie et vins divers,Europe,6009.9834
export,Saint-Martin-de-Ré,eau-de-vie et vins divers,Europe,2124.864
export,Saint-Martin-de-Ré,autres produits,Ports francs et petites îles,7679.9233
export,Saint-Martin-de-Ré,autres produits,Ports francs et petites îles,1648.0513
export,Saint-Martin-de-Ré,autres produits,Ports francs et petites îles,540.05762
export,Saint-Martin-de-Ré,autres produits,Grande Bretagne,159.89761
export,Saint-Martin-de-Ré,autres produits,Europe,1880.0641
export,Saint-Martin-de-Ré,autres produits,Europe,17113.191
export,Saint-Martin-de-Ré,autres produits,Europe,2820.0962
export,La Rochelle,autres produits,Afrique,2480
export,La Rochelle,autres produits,Afrique,7200
export,La Rochelle,autres produits,Afrique,7674
export,La Rochelle,autres produits,Afrique,2100
export,La Rochelle,autres produits,Afrique,10158
export,La Rochelle,autres produits,"Colonies (Saint-Domingue, Indes, îles fr de l'Amérique)",391
